"forecast_summary","today_comment","tomorrow_comment","extended_comment","forecast_summary_es","today_comment_es","tomorrow_comment_es","extended_comment_es"
"MODERATE smoke possible in the morning and overnight hours with increased fire activity today.","Light to moderate smoke in the morning and overnight hours.","Light to moderate smoke in the morning and overnight hours.","","Humo MODERADO posible en la mañana y durante la noche con un aumento en la actividad de fuego hoy.","Humo ligero a moderado en las horas de la mañana y durante la noche.","Humo ligero a moderado en las horas de la mañana y durante la noche.",""
"GOOD air quality today due to north winds.","","","","BUENA calidad del aire hoy debido a los vientos del norte.","","",""
"Good air quality in the area for the day with north-northwest winds.","GOOD air quality today.","Possible smoke in the area with increased fire activity and north winds.","With the NW winds we may see an increase of smoke in the area.","BUENA calidad del aire en el área por el día con vientos del norte-noroeste.","BUENA calidad del aire hoy.","Posible humo en el área con aumento de la actividad de incendios y vientos del norte.","Con los vientos del noroeste podríamos ver un aumento de humo en el área."
"GOOD air quality in the area today with winds out of the north-northwest.","GOOD air quality today in the area with north-northwest winds. ","GOOD air quality in the area throughout the day. ","Fire activity to continue that may produce possible haze smoke in the Payson area.","BUENA calidad del aire en el área hoy con vientos del norte-noroeste.","BUENA calidad del aire en el área hoy con vientos del norte-noroeste.","BUENA calidad del aire en el æ2rea durante todo el día.","La actividad de incendios continuará, lo que podría producir posible humo/bruma en el área de Payson."
"GOOD air quality in the area today with NW winds for the next 2-3 days.","GOOD air quality to continue today with N N/W winds.","GOOD air quality ion the area with slope and NW winds for the next 2-3 days.","GOOD air quality in the area.","BUENA calidad del aire en el área hoy con vientos del noroeste durante los próximos 2-3 días.","La BUENA calidad del aire continuará hoy con vientos del norte noroeste.","BUENA calidad del aire en el área con la pendiente y vientos del noroeste durante los próximos 2-3 días.","BUENA calidad del aire en el área."
"Light MODERATE smoke in the morning clearing out with downslope winds.","MODERATE smoke in the early morning hours clearing mid-morning.","Possible smoke in the area with increased fire activity and north winds.","With the NW winds we may see an increase of smoke in the area.","Ligero humo MODERADA en la mañana despejándose con vientos de ladera abajo.","HUMO MODERADO en las primeras horas de la mañana que se disipa a media mañana.","Posible humo en el área con aumento de la actividad de incendios y vientos del norte.","Con los vientos del NO podemos ver un aumento de humo en el área."
"MODERATE smoke in the morning and overnight hours with USG smoke possible with increased fire activity today.","Light to moderate smoke in the morning and overnight hours.","Light to moderate smoke in the morning and overnight hours.","Smoke to continue in the area as fire activity will continue in the area.","HUMO MODERADO durante la mañana y horas nocturnas con humo IGS posible si aumenta la actividad de incendios hoy.","Humo ligero a moderado en las horas de la mañana y durante la noche.","Humo ligero a moderado en las horas de la mañana y durante la noche.","El humo continuará en la zona ya que la actividad de incendios seguirá en el área."
"We will see light smoke and haze in the area today early in the morning, clearing out mid-day.","Light smoke in the area this morning clearing as downslope winds increase after sunrise.","Light smoke in the morning clearing then smoke continuing in the late part of the evenings.","Fire activity to continue that may produce possible haze and smoke in the Payson area.","Veremos humo ligero y neblina en el área hoy temprano en la mañana, despejándose a media jornada.","Habrá humo ligero en el área esta mañana que se disipará a medida que los vientos de ladera aumenten después del amanecer.","Humo ligero por la mañana que se disipa, luego el humo continúa en la parte final de las tardes.","La actividad de incendios continuará, lo que podría producir posible neblina y humo en el área de Payson."
"GOOD air quality in the area today- possible light smoke and haze in the area with decreased winds today.","GOOD air quality to continue today.","GOOD air quality today with north- northeast winds.","GOOD air quality in the area.","Calidad del aire BUENO en el área hoy - posible humo ligero y neblina en el área con vientos disminuidos hoy.","La calidad del aire BUENO continuará hoy.","Calidad del aire BUENO hoy con vientos del norte-noreste.","Calidad del aire BUENO en el área."
"Moderate smoke possible in the morning and overnight hours. Light winds to start the day will cause smoke to hang around longer into mid-day.","Moderate smoke in the morning and overnight hours expected. With increased burning today we may see more smoke in the area.","Moderate smoke in the morning and overnight hours with periods of increased smoke with increased fire activity.","Moderate smoke in the morning and overnight hours. Smoke will begin to clear around 11 am and settle back in around 6 pm.","Es posible humo moderado en la mañana y durante las horas nocturnas. Los vientos ligeros al comenzar el día harán que el humo permanezca más tiempo hasta el mediodía.","Se espera humo moderado en las horas de la mañana y durante la noche. Con la quema aumentada hoy, podríamos ver más humo en el área.","Humo moderado en la mañana y durante las horas nocturnas con períodos de aumento de humo con mayor actividad de incendios.","Humo moderado en la mañana y durante las horas nocturnas. El humo comenzará a disiparse alrededor de las 11 am y volverá a asentarse alrededor de las 6 pm."
"GOOD air quality in the area with north-northwest winds, possible smoke overhead.","Light smoke possible overhead.","Northeast winds will return with possible periods of smoke in the evening -early morning.","Smoke dispersing overhead in the afternoon.","Calidad del aire BUENO en el área con vientos del norte-noroeste, posible humo en el cielo.","Posible presencia de humo ligero en el cielo.","Los vientos del noreste regresarán con posibles períodos de humo en la tarde-noche a primera hora de la mañana.","El humo se dispersa por encima durante la tarde."
"GOOD air quality in the area with north-northwest winds, possible smoke overhead.","Light smoke possible overhead.","Northeast winds will return with possible periods of smoke in the evening -early morning.","Smoke dispersing overhead in the afternoon.","BUENA calidad del aire en el área con vientos del norte-noroeste, posible humo por encima.","Posible presencia de humo ligero por encima.","Los vientos del noreste regresarán con posibles períodos de humo al anochecer y a primera hora de la mañana.","El humo se dispersa por encima durante la tarde."
"GOOD air quality in the area today with NE winds over the fire area.","GOOD air quality to continue today.","GOOD air quality today with north- northeast winds.","GOOD air quality in the area with N/NE winds.","Calidad del aire BUENO en el área hoy con vientos NE sobre el área del incendio.","La calidad del aire BUENO continuará hoy.","Calidad del aire BUENO hoy con vientos del norte-noreste.","Calidad del aire BUENO en el área con vientos N/NE."
"GOOD air quality for the foreseeable future.","","","","BUENA calidad del aire poe el futuro previsible.","","",""
"Isolated pockets of light smoke.","Isolated pockets of light smoke in the early morning and tonight.","Isolated pockets of light smoke in the early morning and at night.","","Bolsas aisladas de humo ligero.","Bolsas aisladas de humo ligero en la mañana temprano y esta noche.","Bolsas aisladas de humo ligero en la madrugada y por la noche.",""
"Light MODERATE smoke in the morning clearing out with downslope winds.","MODERATE smoke in the early morning hours clearing mid-morning.","Possible smoke in the area with increased fire activity and north winds.","With the NW winds we may see an increase of smoke in the area.","Humo ligero MODERADO en la mañana despejándose con vientos cuesta abajo.","Humo MODERADO en las primeras horas de la mañana que se disipa a media mañana.","Posible humo en el área con aumento de la actividad de incendios y vientos del norte.","Con los vientos del noroeste podemos ver un aumento de humo en el área."
"We will see light smoke and haze in the area today early in the morning, clearing out mid-day.","Light smoke in the area this morning clearing as downslope winds increase after sunrise.","Light smoke in the morning clearing then smoke continuing in the late part of the evenings.","Fire activity to continue that may produce possible haze and smoke in the Payson area.","Veremos humo ligero y bruma en el área hoy temprano en la mañana, despejándose a mitad de día.","Habrá humo ligero en el área esta mañana que se disipará a medida que los vientos cuesta abajo aumenten después del amanecer.","Humo ligero por la mañana que se disipa, luego el humo continúa en la parte final del anochecer.","La actividad de incendios continuará, lo que podría producir posible bruma y humo en el área de Payson."
"GOOD air quality in the area today- possible light smoke and haze in the area with decreased winds today.","GOOD air quality to continue today.","GOOD air quality today with north- northeast winds.","GOOD air quality in the area.","BUENA calidad del aire en el área hoy - posible humo ligero y bruma en el área con la disminución de los vientos hoy.","La calidad del aire BUENA continuará hoy.","BUENA calidad del aire hoy con vientos del norte-noreste.","BUENA calidad del aire en el área."
"Moderate smoke possible in the morning and overnight hours. Light winds to start the day will cause smoke to hang around longer into mid-day.","Moderate smoke in the morning and overnight hours expected. With increased burning today we may see more smoke in the area.","Moderate smoke in the morning and overnight hours with periods of increased smoke with increased fire activity.","Moderate smoke in the morning and overnight hours. Smoke will begin to clear around 11 am and settle back in around 6 pm.","Posible humo mod en la mañana y durante la noche. Vientos ligeros al comenzar el día harán que el humo permanezca más tiempo hasta el mediodía.","Se espera humo moderado en horas de la mañana y durante la noche. Con el aumento en la quema hoy, podríamos ver más humo en el área.","Humo moderado en la mañana y durante horas de la noche con períodos de aumento de humo con mayor actividad de incendios.","Humo moderado en la mañana y durante horas de la noche. El humo comenzará a disiparse alrededor de las 11 am y volverá a asentarse alrededor de las 6 pm."
"MODERATE smoke in the morning and overnight hours with USG smoke possible with increased fire activity today.","Light to moderate smoke in the morning and overnight hours.","Light to moderate smoke in the morning and overnight hours.","Smoke to continue in the area as fire activity will continue in the area.","Humo MODERADO durante la mañana y horas de la noche con humo IGS posible si aumenta la actividad de fuego hoy.","Humo ligero a moderado en horas de la mañana y durante la noche.","Humo ligero a moderado en horas de la mañana y durante la noche.","El humo continuará en el área ya que la actividad de fuego seguirá en el área."
"MODERATE to USG Smoke possible, clearing out by 10 am, NE winds increasing today.","MODERATE to heavy smoke possible overnight depending on fire activity.","MODERATE smoke in the afternoon/ evening.","With continued NE winds we will see periods of smoke in the area.","MODERADA a IGS. Posible presencia de humo, despejándose a las 10 am, vientos del NE aumentando hoy.","MODERADA a humo intenso posible durante la noche dependiendo de la actividad del fuego.","Humo MODERADA en la tarde/noche.","Con vientos continuos del NE, veremos períodos de humo en la zona."
"GOOD air quality in the area today- possible light smoke and haze in the area with NE winds today.","GOOD air quality to continue today.","GOOD air quality today with north- northeast winds.","GOOD air quality in the area with -NNE winds.","Calidad del aire BUENO en la zona hoy - posible humo ligero y neblina en el área con vientos del NE hoy.","La calidad del aire BUENO continuará hoy.","Calidad del aire BUENO hoy con vientos del norte-noreste.","Calidad del aire BUENO en el área con vientos -NNE."
"Light MODERATE smoke in the morning clearing out by 11 a.m. ","MODERATE smoke in the early morning hours clearing mid-morning.","Possible MODERATE smoke in the area with increased fire activity and north winds.","With cooler temperatures and continued N/NE winds we will see GOOD overall air quality.","Ligera humareda MODERADA en la mañana que se disipará antes de las 11 a.m.","Humo MODERADO en las primeras horas de la mañana que se disipa a media mañana.","Posible humo MODERADA en el área con aumento de la actividad de incendios y vientos del norte.","Con temperaturas más frescas y vientos continuos del N/NE, veremos una calidad del aire generalmente BUENA."
"Moderate smoke possible in the morning and overnight hours. Smoke on the roads in this area.","Moderate smoke possible in the morning and overnight hours. Possible heavy USFG smoke in the overnight hours.","Moderate smoke in the morning and overnight hours with periods of increased smoke.","Lingering smoke in the morning and overnight hours. Smoke will begin to clear around 11 am.","Posible humo moderado en la mañana y horas nocturnas. Humo en las carreteras de esta área.","Posible humo moderado en la mañana y durante las horas nocturnas. Posible humo IGS pesado durante las horas nocturnas.","Humo moderado en la mañana y durante las horas nocturnas con períodos de aumento de humo.","Humo persistente durante la mañana y las horas nocturnas. El humo comenzará a disiparse alrededor de las 11 am."
"Light smoke in the area this morning, clearing with NE winds today. GOOD air quality throughout the rest of the day. ","Possible smoke in the area this morning clearing with NE winds. Light smoke in the afternoon.","Haze in the area with NE winds and cooler temperatures in the area.","GOOD air quality, no smoke in the area.","Habrá humo ligero en la zona esta mañana, que se disipará con los vientos del NE durante el día. La calidad del aire será BUENA durante el resto del día.","Posible humo en el área esta mañana que se disipará con vientos del NE. Humo ligero por la tarde.","Bruma en el área con vientos del NE y temperaturas más frescas en el área.","Calidad del aire BUENO, no hay humo en el área."
"Light smoke to continue in the area, with possible MODERATE smoke in the evening.","Light to MODERATE smoke overnight in the area.","Light smoke into the afternoon and into the evening with continued NW/NE winds.","Light smoke into the afternoon and into the evening with continued NW/NE winds.","Continuará el humo ligero en el área, con posible humo MODERADO al anochecer.","Humo ligero a MODERADO durante la noche en el área.","Habrá humo ligero durante la tarde y al anochecer con vientos continuos del noroeste/noreste.","Habrá humo ligero durante la tarde y hasta anochecer con vientos continuos del noroeste/noreste."
"MODERATE smoke in the morning and overnight hours with USG smoke possible. Smoke on the roadways in the area.","Light to moderate smoke in the morning and overnight hours.","Light to moderate smoke in the morning and overnight hours.","Smoke to continue in the area as fire activity will continue in the area.","Humo MODERADA en la mañana y durante las horas nocturnas con humo IGS posible. Humo en las carreteras de la zona.","Humo ligero a moderado en la mañana y durante las horas nocturnas.","Humo ligero a moderado en las horas de la mañana y durante la noche.","El humo continuará en el área ya que la actividad de incendios seguirá en la zona."
"Light smoke in the area this morning, clearing with NE winds today. GOOD air quality throughout the rest of the day. ","Possible smoke in the area this morning clearing with NE winds. Light smoke in the afternoon.","Haze in the area with NE winds and cooler temperatures in the area.","GOOD air quality, no smoke in the area.","Habrá humo ligero en la zona en la mañana, se disipará con vientos del NE durante el día. La calidad del aire será BUENA durante el resto del día.","Posible humo en el área en esta mañana, se disipará con vientos del noreste. Humo ligero por la tarde.","Bruma en el área con vientos del noreste y temperaturas más frescas en el área.","BUENA calidad del aire, no habrá humo en el área."
"MODERATE to USG Smoke possible, clearing out by 10 am, NE winds increasing today.","MODERATE to heavy smoke possible overnight depending on fire activity.","MODERATE smoke in the afternoon/ evening.","With continued NE winds we will see periods of smoke in the area.","MODERADO a IGS. Posible presencia de humo, despejándose a las 10 am, vientos del noreste aumentando hoy.","Humo MODERADO a intenso es posible durante la noche dependiendo de la actividad del fuego.","Humo MODERADO en la tarde/noche.","Con vientos continuos del noreste, veremos períodos de humo en la zona."
"GOOD air quality in the area today- possible light smoke and haze in the area with NE winds today.","GOOD air quality to continue today.","GOOD air quality today with north- northeast winds.","GOOD air quality in the area with -NNE winds.","BUENA calidad del aire en la zona hoy - posible humo ligero y bruma en el área con vientos del noreste hoy.","La BUENA calidad del aire continuará hoy.","BUENA calidad del aire hoy con vientos del norte-noreste.","BUENA calidad del aire en el área con vientos norte-noreste."
"Moderate smoke possible in the morning and overnight hours. Smoke on the roads in this area.","Moderate smoke possible in the morning and overnight hours. Possible heavy USFG smoke in the overnight hours.","Moderate smoke in the morning and overnight hours with periods of increased smoke.","Lingering smoke in the morning and overnight hours. Smoke will begin to clear around 11 am.","Posible humo moderado en la mañana y horas de la noche. Humo en las carreteras de esta área.","Posible humo moderado en la mañana y durante horas de la noche. Posible humo pesado IGS durante horas de la noche.","Humo moderado en la mañana y durante horas de la noche con períodos con un aumento de humo.","Humo persistente durante la mañana y las horas de la noche. El humo comenzará a disiparse alrededor de las 11 am."
"MODERATE smoke in the morning and overnight hours with USG smoke possible. Smoke on the roadways in the area.","Light to moderate smoke in the morning and overnight hours.","Light to moderate smoke in the morning and overnight hours.","Smoke to continue in the area as fire activity will continue in the area.","Humo MODERADO en la mañana y durante horas de la noche con posible humo IGS. Humo en las carreteras de la zona.","Humo ligero a moderado en la mañana y durante horas de la noche.","Humo ligero a moderado en las horas de la mañana y durante la noche.","El humo continuará en el área ya que la actividad de fuego seguirá en la zona."
"Light MODERATE smoke in the morning clearing out by 11 a.m. ","MODERATE smoke in the early morning hours clearing mid-morning.","Possible MODERATE smoke in the area with increased fire activity and north winds.","With cooler temperatures and continued N/NE winds we will see GOOD overall air quality.","Ligero humo MODERADO en la mañana que se disipará antes de las 11 a.m.","Humo MODERADO en las primeras horas de la mañana que se disipa a media mañana.","Posible humo MODERADO en el área con el aumento de la actividad de fuego y vientos del norte.","Con temperaturas más frescas y vientos continuos del norte/noreste, veremos una calidad del aire generalmente BUENA."
"Smoke lifting out later in the morning by 11:00 a.m. ","Moderate smoke in the early a.m. and then again late in the evening.","Light smoke into the evening.","Continued NWE winds will move smoke out of the area by 11:00.","El humo se disipará más tarde en la mañana a las 11:00 a.m.","Humo moderado en la madrugada y luego nuevamente al final de la tarde.","Humo ligero hasta la tarde.","Los vientos continuos del NWE moverán el humo fuera del área para las 11:00."
"GOOD air quality today with NE winds and decreased fire activity.","GOOD air quality in the area.","GOOD air quality to continue in the area.","GOOD air quality with continued northwest winds.","Calidad del aire BUENO hoy con vientos del NE y actividad de incendios disminuida.","Calidad del aire BUENO en el área.","La calidad del aire BUENO continuará en la zona.","Calidad del aire BUENO con vientos continuos del noroeste."
"Light smoke to continue in the area, with possible MODERATE smoke in the evening.","Light to MODERATE smoke overnight in the area.","Light smoke into the afternoon and into the evening with continued NW/NE winds.","Light smoke into the afternoon and into the evening with continued NW/NE winds.","Continuará el humo ligero en el área, con posible humo MODERADA en la noche.","Humo ligero a MODERADA durante la noche en el área.","Habrá humo ligero durante la tarde y la noche con vientos continuos del NO/NE.","Habrá humo ligero durante la tarde y hasta la noche con vientos continuos del NO/NE."
"Light smoke in the area today with NE winds.","Light smoke with periods of MODERATE late in the evening.","Light smoke with periods of MODERATE late in the evening.","With continued NE winds we will see periods of smoke in the area.","Hoy hay humo ligero en el área con vientos del NE.","Ligero humo con períodos de MODERADA a última hora de la noche.","Ligero humo con períodos de MODERADA a última hora de la tarde.","Con los vientos continuos del NE, veremos períodos de humo en la zona."
"MODERATE smoke in the area lifting out by 11:00 a.m.","MODERATE smoke overnight into the morning, clearing out later in the day.","MODERATE smoke in the evening.","Continued NWE winds will move smoke out of the area by 11:00.","HUMO MODERADO en el área despejándose a las 11:00 a.m.","Humo MODERADA durante la noche hasta la mañana, despejándose más tarde en el día.","Humo MODERADA en la noche.","Los vientos continuos del NWE moverán el humo fuera del área para las 11:00."
"GOOD air quality today with NE winds and decreased fire activity.","GOOD air quality in the area.","GOOD air quality to continue in the area.","GOOD air quality with continued northwest winds.","BUENA calidad del aire hoy con vientos del noreste y actividad de fuego reducida.","BUENA calidad del aire en el área.","La BUENA calidad del aire continuará en la zona.","BUENA calidad del aire con vientos continuos del noroeste."
"Smoke lifting out later in the morning by 11:00 a.m. ","Moderate smoke in the early a.m. and then again late in the evening.","Light smoke into the evening.","Continued NWE winds will move smoke out of the area by 11:00.","El humo se disipará más tarde en la mañana a las 11:00 a.m.","Humo moderado en la madrugada y luego nuevamente al anochecer.","Humo ligero hasta anochecer.","Los vientos continuos del noroeste/este moverán el humo fuera del área para las 11:00."
"Light smoke in the area today with NE winds.","Light smoke with periods of MODERATE late in the evening.","Light smoke with periods of MODERATE late in the evening.","With continued NE winds we will see periods of smoke in the area.","Hoy hay humo ligero en el área con vientos del noreste.","Humo ligero con períodos de MODERADO al anochecer.","Humo ligero con períodos de MODERADO al anochecer.","Con los vientos continuos del noreste, veremos períodos de humo en la zona."
"GOOD air quality in the area today with NE winds over the fire area.","GOOD air quality to continue today.","GOOD air quality today with north- northeast winds.","GOOD air quality in the area with N/NE winds.","BUENA calidad del aire en el área hoy con vientos noreste sobre el área del incendio.","La BUENA calidad del aire continuará hoy.","BUENA calidad del aire hoy con vientos del norte-noreste.","BUENA calidad del aire en el área con vientos norte/noreste."
"MODERATE smoke in the area lifting out by 11:00 a.m.","MODERATE smoke overnight into the morning, clearing out later in the day.","MODERATE smoke in the evening.","Continued NWE winds will move smoke out of the area by 11:00.","Humo MODERADO en el área despejándose para las 11:00 a.m.","Humo MODERADO durante la noche hasta la mañana, despejándose más tarde en el día.","Humo MODERADO en la noche.","Los vientos continuos del noroeste/este moverán el humo fuera del área para las 11:00."
"Isolated areas of light smoke in the morning, otherwise clear due to North winds.","Isolated light smoke overnight with North winds in the area.","Isolated light smoke overnight with North winds in the area.","Isolated light smoke afternoon/evening with Northwest winds in the area.","Áreas aisladas de humo ligero por la mañana, de lo contrario despejado debido a los vientos del Norte.","Humo ligero aislado durante la noche con vientos del norte en la zona.","Humo ligero aislado durante la noche con vientos del norte en la zona.","Habrá humo ligero aislado por la tarde/noche con vientos del noroeste en la zona."
"Smoke continues in the area lifting out by 10:00 a.m. with north winds.","MODERATE smoke this morning, clearing out today returning this evening.","MODERATE smoke overnight into the morning, clearing out later in the day.","NW winds will move smoke out of the area by 10:00.","El humo continúa en el área y se disipará a las 10:00 a.m. con vientos del norte.","Humo MODERADO esta mañana, despejándose hoy y regresando esta noche.","Humo MODERADA durante la noche hasta la mañana, despejándose más tarde en el día.","Los vientos del NO moverán el humo fuera del área para las 10:00."
"Smoke lifting out later in the morning by 10:00 a.m.","Moderate smoke in the early a.m. and then again late in the evening.","Moderate smoke in the early a.m. and then again late in the evening.","NW winds will move smoke out of the area by 10:00.","El humo se disipará más tarde en la mañana a las 10:00 a.m.","Humo moderado en la madrugada y luego nuevamente al final de la tarde.","Humo moderado en la madrugada y luego nuevamente al final de la tarde.","Los vientos del NO moverán el humo fuera del área para las 10:00."
"GOOD air quality in the area today.","GOOD air quality in the area today.","GOOD air quality in the area today.","GOOD air quality in the area today with NW winds.","Calidad del aire BUENO en el área hoy.","Calidad del aire BUENO en el área hoy.","Calidad del aire BUENO en la zona hoy.","Calidad del aire BUENO en el área hoy con vientos del NO."
"GOOD air quality today with north winds.","GOOD air quality in the area.","GOOD air quality to continue in the area.","GOOD air quality with continued northwest winds.","BUENA calidad del aire hoy con vientos del norte.","BUENA calidad del aire en el área.","La BUENA calidad del aire continuará en el área.","BUENA calidad del aire con vientos continuos del noroeste."
"GOOD air quality in the area today.","GOOD air quality to continue today.","GOOD air quality today with north- northeast winds.","GOOD air quality in the area with N/NE winds.","BUENA calidad del aire en el área hoy.","La BUENA calidad del aire continuará hoy.","BUENA calidad del aire hoy con vientos del norte-noreste.","BUENA calidad del aire en el área con vientos norte/noreste."
"Isolated areas of light smoke in the morning, otherwise clear due to North winds.","Isolated light smoke overnight with North winds in the area.","Isolated light smoke overnight with North winds in the area.","Isolated light smoke afternoon/evening with Northwest winds in the area.","Áreas aisladas de humo ligero por la mañana, de lo contrario despejado debido a los vientos del Norte.","Humo ligero aislado durante la noche con vientos del norte en el área.","Humo ligero aislado durante la noche con vientos del norte en el área.","Habrá humo ligero aislado por la tarde/al anochecer con vientos del noroeste en el área."
"Smoke lifting out later in the morning by 10:00 a.m.","Moderate smoke in the early a.m. and then again late in the evening.","Moderate smoke in the early a.m. and then again late in the evening.","NW winds will move smoke out of the area by 10:00.","El humo se disipará más tarde en la mañana cerca de las 10:00 a.m.","Humo moderado en la madrugada y luego nuevamente al anochecer.","Humo moderado en la madrugada y luego nuevamente al anochecer.","Los vientos del noroeste moverán el humo fuera del área para las 10:00."
"Smoke continues in the area lifting out by 10:00 a.m. with north winds.","MODERATE smoke this morning, clearing out today returning this evening.","MODERATE smoke overnight into the morning, clearing out later in the day.","NW winds will move smoke out of the area by 10:00.","El humo continúa en el área y se disipará para las 10:00 a.m. con vientos del norte.","Humo MODERADO esta mañana, despejándose hoy y regresando al anochecer.","Humo MODERADO durante la noche hasta la mañana, despejándose más tarde en el día.","Los vientos del noroeste moverán el humo fuera del área para las 10:00."
"GOOD air quality in the area today.","GOOD air quality in the area today.","GOOD air quality in the area today.","GOOD air quality in the area today with NW winds.","BUENA calidad del aire en el área hoy.","BUENA calidad del aire en el área hoy.","BUENA calidad del aire en el área hoy.","BUENA calidad del aire en el área hoy con vientos del noroeste."
"Isolated pockets of smoke lifting out by 10:00 a.m.","Isolated pockets of smoke in the early a.m. and then again tonight.","Isolated pockets of smoke possible in the early morning.","","Bolsas aisladas de humo que se disipan a las 10:00 a.m.","Bolsas aisladas de humo en la madrugada y luego nuevamente esta noche.","Posibles bolsas aisladas de humo en la madrugada.",""
"GOOD air quality.","GOOD air quality.","GOOD air quality.","","Calidad del aire BUENO.","Calidad del aire BUENO.","Calidad del aire BUENO.",""
"GOOD air quality.","GOOD air quality.","GOOD air quality.","","Calidad del aire BUENO.","Calidad del aire BUENO.","Calidad del aire BUENO.",""
"GOOD air quality.","GOOD air quality.","GOOD air quality.","","Calidad del aire BUENO.","Calidad del aire BUENO.","Calidad del aire BUENO.",""
"GOOD air quality today with north winds.","GOOD air quality.","GOOD air quality.","","Calidad del aire BUENO hoy con vientos del norte.","Calidad del aire BUENO.","Calidad del aire BUENO.",""
"Isolated pockets of smoke lifting out by 10:00 a.m.","Isolated pockets of smoke in the early a.m. and then again tonight.","Isolated pockets of smoke possible in the early morning.","","Bolsas aisladas de humo disipándose antes de las 10:00 a.m.","Bolsas aisladas de humo en la madrugada y luego nuevamente esta noche.","Posibles bolsas aisladas de humo en la madrugada.",""
"Isolated pockets of smoke lifting out by 10:00 a.m.","Isolated pockets of smoke in the early a.m. and then again tonight.","Isolated pockets of smoke possible in the early morning.","","Bolsas aisladas de humo que se disiparán para las 10:00 a.m.","Bolsas aisladas de humo en la madrugada y luego nuevamente esta noche.","Posibles bolsas aisladas de humo en la madrugada.",""
"Isolated pockets of light smoke lifting out by 10:00 a.m.","Isolated pockets of light smoke in the early morning and tonight.","Isolated pockets of light smoke in the early morning and at night.","Isolated pockets of light smoke in the early morning and at night.","Bolsas aisladas de humo ligero disipándose antes de las 10:00 a.m.","Bolsas aisladas de humo ligero en la mañana temprano y esta noche.","Bolsas aisladas de humo ligero en la madrugada y por la noche.","Bolsas aisladas de humo ligero en la mañana temprano y en la noche."
"GOOD air quality for the foreseeable future.","","","","Calidad del aire BUENA para el futuro previsible.","","",""
"Isolated pockets of light smoke lifting out by 10:00 a.m.","Isolated pockets of light smoke in the early morning and tonight.","Isolated pockets of light smoke in the early morning and at night.","Isolated pockets of light smoke in the early morning and at night.","Bolsas aisladas de humo ligero disipándose antes de las 10:00 a.m.","Bolsas aisladas de humo ligero en la mañana temprano y esta noche.","Bolsas aisladas de humo ligero en la madrugada y por la noche.","Bolsas aisladas de humo ligero en la mañana temprano y en la noche."
"GOOD air quality for the foreseeable future.","","","","BUENA calidad del aire por el futuro previsible.","","",""
"Isolated pockets of light smoke lifting out by 10:00 a.m.","Isolated pockets of light smoke in the early morning and tonight.","Isolated pockets of light smoke possible in the early morning and at night.","Isolated pockets of light smoke in the morning and at night.","Bolsas aisladas de humo ligero que se disipan a las 10:00 a.m.","Bolsas aisladas de humo ligero en la madrugada y esta noche.","Posibles bolsas aisladas de humo ligero en la madrugada y por la noche.","Bolsas aisladas de humo ligero por la mañana y por la noche."
"Isolated pockets of light smoke.","Isolated pockets of light smoke in the early morning and tonight.","Isolated pockets of light smoke possible in the early morning and at night.","","Bolsas aisladas de humo ligero.","Bolsas aisladas de humo ligero en la mañana temprano y esta noche.","Posibles bolsas aisladas de humo ligero en la madrugada y por la noche.",""
"GOOD air quality for the foreseeable future.","","","","Calidad del aire BUENA para el futuro previsible.","","",""
"Hazy skies this morning with short periods of USG around the Devils Gate Reservoir.  Tonight, increasing NE winds will push smoke out of the area.  Locations between San Raphael Hill and Pasadena will see MODERATE conditions all day due to terrain features. ","Locations closer to the reservoir will see MODERATE to USG conditions all day. ","","","Cielos brumosos esta mañana con cortos períodos de IGS alrededor del embalse Devils Gate. Esta noche, el aumento de los vientos NE empujará el humo fuera del área. Las ubicaciones entre la colina San Raphael y Pasadena verán condiciones MODERADAS todo el día debido a las características del terreno.","Las ubicaciones más cercanas al embalse experimentarán condiciones de MODERADA a IGS durante todo el día.","",""
"MODERATE smoke impacts, light haze, and brief periods of USG (unhealthy for sensitive groups).  Increasing winds will lay the smoke back over the foothills tonight. ","Locations in direct proximity to the fire can expect USG most of the day. ","Similar pattern as Sunday. ","Return of high winds will disperse cold ashfall and fire debris.","Impactos de humo MODERADA, ligera neblina y breves períodos de IGS (insalubre para grupos sensibles). Los vientos crecientes llevarán el humo de nuevo hacia las estribaciones esta noche.","Las ubicaciones en proximidad directa al incendio pueden esperar IGS durante la mayor parte del día.","Patrón similar al domingo.","El regreso de fuertes vientos dispersará la caída de ceniza fría y los escombros del incendio."
"MODERATE smoke impacts most of the day with high potential for improving conditions by the afternoon.  Return of MOD to USG overnight as smoke settles into the LA Basin. ","","","","Impactos de humo MODERADA durante la mayor parte del día con un alto potencial de mejora de las condiciones por la tarde. Regreso de MODERADA a IGS durante la noche a medida que el humo se asienta en la cuenca de LA.","","",""
"Hazy skies with MODERATE impacts most of the day.  High potential for the return of smoke tonight as increasing wind limits the lifting of the smoke column. ","Locations between Glendale and LA will see brief periods of USG tonight","","","Cielos brumosos con impactos MODERADOS durante la mayor parte del día. Alta posibilidad de retorno de humo esta noche a medida que el aumento del viento limita el ascenso de la columna de humo.","Las ubicaciones entre Glendale y LA experimentarán breves períodos de IGS esta noche.","",""
